ZONE_ID;STADSDELEN;BC;GEBIED_ACTWAG;ZONE_VENOM;GEM2014;GEMEENTE;BUURT_ZONENAAM;PC4;LAND;PROV;COROP;HAVEN_IND;XCOORD;YCOORD;OPP;HUISH;INK_GEM;ACT_WAG;INWONERS;M_00_05;M_06_11;M_12_14;M_15_17;M_18_34;M_35_54;M_55_64;M_65_74;M_75_EO;V_00_05;V_06_11;V_12_14;V_15_17;V_18_34;V_35_54;V_55_64;V_65_74;V_75_EO;BBV_MAN;WERKZ_M;PT_MAN;BBV_VROUW;WERKZ_V;PT_VROUW;HOWEEK;MBOWEEK;HOWKND;MBOWKND;BANENTOT2;ZELFST;BANENTOT;LANDBOUW;INDUSTRIE;DETAIL;DIENSTEN;OVERHEID;OVERIG;BASIS_OW;SPEC_OW;VOORTG_OW;MBO;HBO_WO;hotelbedden;PT_KP;PZT_H;PZT_B;AVert;AAank;
4550;12;Z99z;0;2977;505;Dordrecht;Belthure_Park;0;1;8;30;0;105793;421214;370;7175;43536;8082;16592;576;628;266;298;1475;2194;1018;1065;590;595;572;266;278;1484;2213;1155;1121;798;4119;3943;368;3482;3282;1525;257;298;3;14;1569;585;2154;0;167;135;280;188;1384;1768;174;176;0;0;0;0;0.0;0.0;1;1;
4551;12;Z99z;0;2978;505;Dordrecht;Dordtse_Biesbosch_2;0;1;8;30;0;107931;421472;3977;774;70961;1178;2221;48;94;57;69;164;338;170;100;73;46;100;54;61;165;358;148;96;80;572;546;55;469;442;216;100;41;3;0;290;157;447;83;38;5;167;0;154;0;0;0;0;0;0;0;0.0;0.0;1;1;
4552;12;Z99z;0;2979;512;Gorinchem;Landelijk_gebied_West;0;1;8;30;0;127110;427845;1637;10384;46147;12662;25647;993;1004;535;543;2535;3590;1675;1156;732;881;900;487;524;2599;3756;1645;1222;870;6600;6276;656;5629;5289;2643;642;556;14;7;10955;1287;12242;29;2737;675;3793;1628;3380;2263;451;5160;808;0;0;47;0.0;0.0;1;1;
4553;12;Z99z;0;2980;512;Gorinchem;Avelingen_West;0;1;8;30;0;125747;427280;542;6180;34525;5118;11225;257;253;127;133;1339;1435;737;681;554;228;233;132;128;1262;1348;727;785;866;2931;2791;284;2334;2194;1061;218;228;7;1;10715;718;11433;4;2122;1239;1805;633;5630;1042;0;1496;0;0;0;40;0.0;0.0;1;1;
4554;12;Z99z;0;2981;545;Leerdam;Verspreide_huizen_Leerdam;0;1;8;30;0;134630;434077;3397;8865;42266;10621;21308;704;694;401;407;2194;2739;1333;1166;823;658;731;362;425;2170;2672;1401;1274;1154;4983;4733;494;4007;3755;1868;403;534;6;0;8315;999;9314;154;2496;1154;1474;496;3540;1998;0;1113;0;0;0;18;0.0;0.0;1;1;
4555;12;Z99z;0;2982;1924;Goeree-Overflakkee;Ouddorp_buitengebied;0;1;8;29;0;57305;425476;7418;4921;49176;7196;11797;343;389;228;232;1032;1508;806;723;520;367;367;215;228;1008;1553;811;759;708;2854;2770;287;2359;2270;1110;151;273;4;0;4969;710;5679;309;1170;655;1145;134;2266;979;0;0;253;0;0;0;0.0;0.0;1;1;
4556;12;Z99z;0;2983;1924;Goeree-Overflakkee;Dirksland_buitengebied;0;1;8;29;0;65420;418891;5593;3754;45694;5252;9099;301;311;175;191;883;1212;604;527;305;338;330;162;186;847;1188;597;506;436;2266;2200;226;1833;1763;857;120;205;5;1;3016;517;3533;222;449;189;462;94;2117;791;0;0;0;0;0;0;0.0;0.0;1;1;
4557;12;Z99z;0;2984;1924;Goeree-Overflakkee;Sommelsdijk_buitengebied;0;1;8;29;0;70749;418476;6160;7876;43789;10203;18661;612;619;324;378;1746;2323;1305;1071;800;496;614;332;337;1657;2454;1345;1129;1119;4487;4353;451;3765;3622;1764;335;384;8;1;8007;952;8959;243;1299;1151;1366;1189;3711;1608;184;3203;1255;0;0;0;0.0;0.0;1;1;
4558;12;Z99z;0;2985;1924;Goeree-Overflakkee;Oude-Tonge_buitengebied;0;1;8;29;0;77384;412113;7010;4555;42823;6136;10305;284;295;152;178;930;1381;781;691;456;242;310;175;164;864;1352;821;654;575;2631;2553;262;2080;2001;983;167;199;8;0;2782;623;3405;451;623;401;514;115;1301;766;0;0;584;0;0;0;0.0;0.0;1;1;
4559;12;Z99z;0;2986;351;Woudenberg;Rumelaar-Lambalgen;0;1;9;17;0;157217;454657;3657;5126;48842;7194;13328;531;572;293;304;1326;1677;833;686;470;491;493;244;279;1234;1683;831;700;681;3357;3290;370;2833;2761;1338;280;222;8;2;4622;824;5446;263;1098;637;984;264;2200;1309;0;0;0;0;0;0;0.0;0.0;1;1;
