[('Deletio;GEOMETRY
76;POLYGON ((628339.8745462557 5805736.028964071, 628518.2818386627 5805759.222735223, 628494.9098695891 5805362.1835483555, 628222.17611765 5805603.048190628, 628328.8590657988 5805885.790317504, 628344.3461714899 5805881.985677362, 628339.8745462557 5805736.028964071))
77;POLYGON ((628222.17611765 5805603.048190628, 628494.9098695891 5805362.1835483555, 628527.5606564613 5805333.348000945, 628467.4523380278 5805257.558470641, 628362.4606807515 5805346.8606057, 628231.1627434611 5805458.537844802, 628218.9424142985 5805443.840906335, 628169.656321143 5805491.468418582, 628222.17611765 5805603.048190628))
78;POLYGON ((628388.2264379589 5805165.929960133, 628160.1279864025 5805363.174677454, 628152.6919971545 5805377.548894499, 628128.241097166 5805404.1758129215, 628169.656321143 5805491.468418582, 628218.9424142985 5805443.840906335, 628231.1627434611 5805458.537844802, 628362.4606807515 5805346.8606057, 628467.4523380278 5805257.558470641, 628388.2264379589 5805165.929960133))
79;POLYGON ((628527.5606564613 5805333.348000945, 628646.1457068479 5805247.303878033, 628588.7150942757 5805154.416657794, 628467.4523380278 5805257.558470641, 628527.5606564613 5805333.348000945))
80;POLYGON ((628467.4523380278 5805257.558470641, 628588.7150942757 5805154.416657794, 628534.0524417262 5805039.521457127, 628508.581569738 5805061.74074986, 628403.1686104125 5805152.958289262, 628388.2264379589 5805165.929960133, 628467.4523380278 5805257.558470641))
81;POLYGON ((628151.0311098583 5805640.962572096, 628222.17611765 5805603.048190628, 628169.656321143 5805491.468418582, 628128.241097166 5805404.1758129215, 628063.7301612522 5805435.7050560275, 628122.7736406574 5805578.776171892, 628151.0311098583 5805640.962572096))
82;POLYGON ((628403.1686104125 5805152.958289262, 628037.757150078 5805059.387401863, 628152.6919971545 5805377.548894499, 628160.1279864025 5805363.174677454, 628388.2264379589 5805165.929960133, 628403.1686104125 5805152.958289262))
83;POLYGON ((628297.3539539857 5804828.618935872, 628251.9280813938 5804992.167103165, 628508.581569738 5805061.74074986, 628534.0524417262 5805039.521457127, 628449.3729459203 5804878.670315451, 628297.3539539857 5804828.618935872))
84;POLYGON ((628297.3539539857 5804828.618935872, 628054.6796587642 5804753.028551555, 627912.1676593437 5804710.629808909, 627987.7096195794 5804920.574484872, 628251.9280813938 5804992.167103165, 628297.3539539857 5804828.618935872))
85;POLYGON ((628508.581569738 5805061.74074986, 628251.9280813938 5804992.167103165, 627987.7096195794 5804920.574484872, 628037.757150078 5805059.387401863, 628403.1686104125 5805152.958289262, 628508.581569738 5805061.74074986))
86;POLYGON ((628152.6919971545 5805377.548894499, 628037.757150078 5805059.387401863, 627987.7096195794 5804920.574484872, 627912.1676593437 5804710.629808909, 627878.4264229867 5804722.177595605, 627897.4338160062 5804777.214933542, 627849.98864054 5804793.908583709, 627946.4154450527 5805109.175896023, 627927.7114243489 5805180.732133468, 628001.5342488819 5805258.583406222, 628063.7301612522 5805435.7050560275, 628128.241097166 5805404.1758129215, 628152.6919971545 5805377.548894499))
87;POLYGON ((627912.1676593437 5804710.629808909, 627812.1220117203 5804430.486868081, 627767.8102511131 5804277.509376117, 627673.3189945841 5804299.827321972, 627735.9081137646 5804464.267099752, 627814.4329603157 5804677.659661886, 627849.98864054 5804793.908583709, 627897.4338160062 5804777.214933542, 627878.4264229867 5804722.177595605, 627912.1676593437 5804710.629808909))
88;POLYGON ((628137.2828125654 5804549.606851222, 627812.1220117203 5804430.486868081, 627912.1676593437 5804710.629808909, 628054.6796587642 5804753.028551555, 628137.2828125654 5804549.606851222))
89;POLYGON ((628137.2828125654 5804549.606851222, 628054.6796587642 5804753.028551555, 628297.3539539857 5804828.618935872, 628449.3729459203 5804878.670315451, 628389.428169959 5804764.978095089, 628297.923186657 5804590.167353885, 628261.703145897 5804596.5533220945, 628137.2828125654 5804549.606851222))
90;POLYGON ((628297.923186657 5804590.167353885, 628271.3347286409 5804537.973182044, 628227.8418390552 5804458.668470653, 627767.8102511131 5804277.509376117, 627812.1220117203 5804430.486868081, 628137.2828125654 5804549.606851222, 628261.703145897 5804596.5533220945, 628297.923186657 5804590.167353885))
91;POLYGON ((627673.3189945841 5804299.827321972, 627767.8102511131 5804277.509376117, 627732.8576406682 5804105.269128098, 627610.8196266453 5804054.63231959, 627609.476992995 5804110.320442957, 627673.3259968304 5804225.568827893, 627673.3189945841 5804299.827321972))
92;POLYGON ((628188.451287602 5804304.276801928, 627732.8576406682 5804105.269128098, 627767.8102511131 5804277.509376117, 628227.8418390552 5804458.668470653, 628191.3507967935 5804389.309316743, 628188.451287602 5804304.276801928))
93;POLYGON ((628181.219893319 5804077.572925534, 627798.7735208767 5803895.810120174, 627725.1395416168 5804065.822305596, 627732.8576406682 5804105.269128098, 628188.451287602 5804304.276801928, 628182.1137144985 5804129.397818957, 628181.219893319 5804077.572925534))
