ID;DEPARTURE;ORIGIN;DESTINATION;SERVICE
37038;08:00:47;627498.1724596496 5810012.366902584;628578.9402645028 5807960.518716605;PersonalVehicle
4328;08:00:48;626302.43264737 5805057.760644407;627498.1724596496 5810012.366902584;PersonalVehicle
1287;08:00:48;630642.7525809996 5803714.514487799;630692.721394605 5803473.320869642;PersonalVehicle
9312;08:00:48;625506.3564786583 5800324.4571683705;625965.6093359436 5801026.913977332;PersonalVehicle
5577;08:00:48;625791.5139758503 5803818.01260284;625506.3564786583 5800324.4571683705;PersonalVehicle
20293;08:00:49;631367.5815514133 5802923.423482535;634266.520278123 5803737.794336154;PersonalVehicle
320;08:00:49;629986.1756898559 5804736.244941224;625495.2665135056 5806727.877555828;PersonalVehicle
33395;08:00:49;628245.0655500313 5803111.458785352;630846.0878003037 5802492.4168892745;PersonalVehicle
14175;08:00:49;629769.6535322428 5801624.439845126;628170.5587051599 5801459.282784047;PersonalVehicle
28060;08:00:49;630808.6690745929 5805512.448414189;633095.9508737557 5806587.432533813;PersonalVehicle
15643;08:00:49;628332.0229782839 5802059.365256673;627482.8883523437 5801080.1086393725;PersonalVehicle
37912;08:00:50;631913.9173730104 5808124.069404383;630537.9970490328 5805234.742753679;PersonalVehicle
14122;08:00:50;629186.4714870019 5801452.798378741;630377.2935286161 5799276.878224155;PersonalVehicle
5917;08:00:50;626075.8486631423 5802859.977166088;628035.0931699035 5802989.110398581;PersonalVehicle
43544;08:00:50;625506.3564786583 5800324.4571683705;628796.318909859 5807659.528016352;PersonalVehicle
17292;08:00:50;629077.1676360136 5800425.02074572;627186.0483003092 5801014.073877988;PersonalVehicle
43323;08:00:50;625495.2665135056 5806727.877555828;626816.4987259124 5801981.677008908;PersonalVehicle
37848;08:00:50;631913.9173730104 5808124.069404383;630429.4214908563 5801706.5317928875;PersonalVehicle
44047;08:00:50;625506.3564786583 5800324.4571683705;630504.720472179 5802629.75198882;PersonalVehicle
20020;08:00:51;630704.6766316171 5802535.212322787;631127.2365734233 5801323.043143567;PersonalVehicle
3647;08:00:51;626693.0987183008 5803204.955223209;626949.9679875593 5802823.356431143;PersonalVehicle
4176;08:00:51;626435.1169273907 5802436.464888288;630377.2935286161 5799276.878224155;PersonalVehicle
